,PLZ,BFS-Nr,Gemeindename,Kantonskürzel,Sprache,pop_PLZ,pop_BFS,PLZ_check,pop_BFS_real,PLZ_to_BFS_factor
344,1446,5745,Baulmes,VD,fr,1075.0,1075.0,True,1075.0,1.0
347,1453,5552,Bullet,VD,fr,628.0,658.0,True,501.0,0.7977707006369427
348,1453,5562,Mauborget,VD,fr,628.0,127.0,True,127.0,0.20222929936305734
346,1452,5552,Bullet,VD,fr,199.0,658.0,True,199.0,1.0
349,1454,5568,Sainte-Croix,VD,fr,672.0,4933.0,True,672.0,1.0
345,1450,5568,Sainte-Croix,VD,fr,4218.0,4933.0,True,4218.0,1.0
350,1462,5939,Yvonand,VD,fr,3470.0,3470.0,True,3470.0,1.0
351,1463,5928,Rovray,VD,fr,202.0,202.0,True,202.0,1.0
352,1464,5907,Chavannes-le-Chêne,VD,fr,467.0,324.0,True,324.0,0.6937901498929336
353,1464,5908,Chêne-Pâquier,VD,fr,467.0,143.0,True,143.0,0.30620985010706636
359,1474,2055,Cheyres-Châbles,FR,fr,780.0,2320.0,True,780.0,1.0
354,1468,2055,Cheyres-Châbles,FR,fr,1540.0,2320.0,True,1540.0,1.0
364,1484,2050,Les Montets,FR,fr,816.0,1535.0,True,816.0,1.0
363,1483,2050,Les Montets,FR,fr,1079.0,1535.0,True,539.5,0.5
362,1483,2011,Cugy (FR),FR,fr,1079.0,1847.0,True,539.5,0.5
361,1482,2011,Cugy (FR),FR,fr,1485.0,1847.0,True,1485.0,1.0
365,1485,2035,Nuvilly,FR,fr,478.0,471.0,True,471.0,0.9853556485355649
368,1509,5692,Vucherens,VD,fr,618.0,618.0,True,618.0,1.0
369,1510,5678,Moudon,VD,fr,6257.0,6101.0,True,6101.0,0.9750679239252038
370,1510,5688,Syens,VD,fr,6257.0,156.0,True,156.0,0.02493207607479623
371,1512,5665,Chavannes-sur-Moudon,VD,fr,223.0,223.0,True,223.0,1.0
372,1513,5673,Hermenches,VD,fr,456.0,382.0,True,382.0,0.8377192982456141
373,1513,5684,Rossenges,VD,fr,456.0,84.0,True,84.0,0.18421052631578946
374,1514,5663,Bussy-sur-Moudon,VD,fr,218.0,218.0,True,218.0,1.0
375,1515,5690,Villars-le-Comte,VD,fr,284.0,120.0,True,120.0,0.4225352112676056
376,1515,5693,Montanaire,VD,fr,284.0,2777.0,True,164.0,0.5774647887323944
57,1063,5693,Montanaire,VD,fr,1132.0,2777.0,True,763.0,0.6740282685512368
56,1063,5661,Boulens,VD,fr,1132.0,369.0,True,369.0,0.32597173144876324
303,1409,5693,Montanaire,VD,fr,110.0,2777.0,True,110.0,1.0
305,1410,5693,Montanaire,VD,fr,1822.0,2777.0,True,1739.0,0.9544456641053787
304,1410,2038,Prévondavaux,FR,fr,1822.0,83.0,True,83.0,0.045554335894621295
377,1521,5669,Curtilles,VD,fr,300.0,300.0,True,300.0,1.0
388,1532,2016,Fétigny,FR,fr,1080.0,1080.0,True,1080.0,1.0
389,1533,2027,Ménières,FR,fr,427.0,427.0,True,427.0,1.0
394,1537,5812,Champtauroz,VD,fr,144.0,144.0,True,144.0,1.0
395,1538,5828,Treytorrens (Payerne),VD,fr,114.0,114.0,True,114.0,1.0
398,1542,2054,Estavayer,FR,fr,538.0,9988.0,True,538.0,1.0
356,1470,2054,Estavayer,FR,fr,7370.0,9988.0,True,6214.0,0.8431478968792402
355,1470,2025,Lully (FR),FR,fr,7370.0,1156.0,True,1156.0,0.15685210312075984
358,1473,2054,Estavayer,FR,fr,938.0,9988.0,True,418.0,0.44562899786780386
357,1473,2008,Châtillon (FR),FR,fr,938.0,520.0,True,520.0,0.5543710021321961
360,1475,2054,Estavayer,FR,fr,1109.0,9988.0,True,1109.0,1.0
366,1486,2054,Estavayer,FR,fr,264.0,9988.0,True,264.0,1.0
367,1489,2054,Estavayer,FR,fr,754.0,9988.0,True,754.0,1.0
397,1541,2054,Estavayer,FR,fr,1009.0,9988.0,True,691.0,0.6848364717542121
396,1541,2043,Sévaz,FR,fr,1009.0,318.0,True,318.0,0.3151635282457879
399,1543,5817,Grandcour,VD,fr,967.0,967.0,True,967.0,1.0
400,1544,2022,Gletterens,FR,fr,1094.0,1094.0,True,1094.0,1.0
401,1545,5813,Chevroux,VD,fr,494.0,494.0,True,494.0,1.0
402,1551,5822,Payerne,VD,fr,287.0,10069.0,True,287.0,1.0
387,1530,5822,Payerne,VD,fr,9776.0,10069.0,True,9776.0,1.0
403,1552,5827,Trey,VD,fr,302.0,302.0,True,302.0,1.0
404,1553,2068,Châtonnaye,FR,fr,858.0,858.0,True,858.0,1.0
406,1555,5830,Villarzel,VD,fr,204.0,477.0,True,204.0,1.0
405,1554,5830,Villarzel,VD,fr,273.0,477.0,True,273.0,1.0
407,1562,5816,Corcelles-près-Payerne,VD,fr,2691.0,2683.0,True,2683.0,0.99702712746191
410,1565,2045,Vallon,FR,fr,832.0,464.0,True,464.0,0.5576923076923077
411,1565,5821,Missy,VD,fr,832.0,368.0,True,368.0,0.4423076923076923
412,1566,2041,Saint-Aubin (FR),FR,fr,1886.0,1886.0,True,1886.0,1.0
414,1568,2051,Delley-Portalban,FR,fr,807.0,1222.0,True,807.0,1.0
413,1567,2051,Delley-Portalban,FR,fr,415.0,1222.0,True,415.0,1.0
415,1580,5451,Avenches,VD,fr,4502.0,4477.0,True,4477.0,0.9944469124833407
421,1588,5456,Cudrefin,VD,fr,1780.0,1780.0,True,1780.0,1.0
428,1609,2335,Saint-Martin (FR),FR,fr,1026.0,1026.0,True,1026.0,1.0
431,1612,5805,Oron,VD,fr,419.0,5664.0,True,419.0,1.0
68,1078,5805,Oron,VD,fr,390.0,5664.0,True,390.0,1.0
425,1607,5805,Oron,VD,fr,1906.0,5664.0,True,1906.0,1.0
427,1608,5805,Oron,VD,fr,1047.0,5664.0,True,727.0,0.6943648519579751
426,1608,2066,Chapelle (Glâne),FR,fr,1047.0,320.0,True,320.0,0.30563514804202485
429,1610,5805,Oron,VD,fr,2636.0,5664.0,True,2636.0,1.0
432,1613,5790,Maracon,VD,fr,537.0,537.0,True,537.0,1.0
433,1614,2328,Granges (Veveyse),FR,fr,865.0,854.0,True,854.0,0.9872832369942196
434,1615,2323,Bossonnens,FR,fr,1501.0,1501.0,True,1501.0,1.0
436,1617,2321,Attalens,FR,fr,1702.0,3580.0,True,490.0,0.2878965922444183
437,1617,2333,Remaufens,FR,fr,1702.0,1212.0,True,1212.0,0.7121034077555817
435,1616,2321,Attalens,FR,fr,3077.0,3580.0,True,3077.0,1.0
439,1619,2325,Châtel-Saint-Denis,FR,fr,1026.0,7449.0,True,1026.0,1.0
438,1618,2325,Châtel-Saint-Denis,FR,fr,6427.0,7449.0,True,6427.0,1.0
440,1623,2336,Semsales,FR,fr,1421.0,1426.0,True,1426.0,1.003518648838846
441,1624,2338,La Verrerie,FR,fr,729.0,1301.0,True,729.0,1.0
430,1611,2338,La Verrerie,FR,fr,572.0,1301.0,True,572.0,1.0
443,1626,2152,Sâles,FR,fr,474.0,1452.0,True,474.0,1.0
442,1625,2152,Sâles,FR,fr,978.0,1452.0,True,978.0,1.0
444,1627,2155,Vaulruz,FR,fr,1090.0,1085.0,True,1085.0,0.9954128440366973
445,1628,2160,Vuadens,FR,fr,2475.0,2472.0,True,2472.0,0.9987878787878788
447,1632,2148,Riaz,FR,fr,2808.0,2815.0,True,2815.0,1.0024928774928774
448,1633,2140,Marsens,FR,fr,2034.0,2034.0,True,2034.0,1.0
449,1634,2149,La Roche,FR,fr,1816.0,1821.0,True,1821.0,1.0027533039647578
450,1635,2125,Bulle,FR,fr,5126.0,24412.0,True,5126.0,1.0
446,1630,2125,Bulle,FR,fr,19323.0,24412.0,True,19323.0,1.0
451,1636,2124,Broc,FR,fr,2662.0,2662.0,True,2662.0,1.0
453,1638,2143,Morlon,FR,fr,643.0,643.0,True,643.0,1.0
454,1642,2153,Sorens,FR,fr,1105.0,1105.0,True,1105.0,1.0
457,1645,2122,Pont-en-Ogoz,FR,fr,390.0,1951.0,True,390.0,1.0
455,1643,2122,Pont-en-Ogoz,FR,fr,920.0,1951.0,True,920.0,1.0
456,1644,2122,Pont-en-Ogoz,FR,fr,641.0,1951.0,True,641.0,1.0
458,1646,2131,Echarlens,FR,fr,850.0,847.0,True,847.0,0.9964705882352941
460,1648,2137,Hauteville,FR,fr,678.0,678.0,True,678.0,1.0
461,1649,2147,Pont-la-Ville,FR,fr,609.0,609.0,True,609.0,1.0
462,1651,2129,Corbières,FR,fr,322.0,919.0,True,322.0,1.0
459,1647,2129,Corbières,FR,fr,594.0,919.0,True,594.0,1.0
463,1652,2123,Botterens,FR,fr,670.0,670.0,True,670.0,1.0
464,1653,2128,Châtel-sur-Montsalvens,FR,fr,732.0,317.0,True,317.0,0.43306010928961747
465,1653,2130,Crésuz,FR,fr,732.0,415.0,True,415.0,0.5669398907103825
466,1654,2163,Val-de-Charmey,FR,fr,414.0,2548.0,True,414.0,1.0
452,1637,2163,Val-de-Charmey,FR,fr,2134.0,2548.0,True,2134.0,1.0
467,1656,2138,Jaun,FR,de,633.0,633.0,True,633.0,1.0
469,1658,5842,Rossinière,VD,fr,534.0,534.0,True,534.0,1.0
470,1659,5843,Rougemont,VD,fr,927.0,864.0,True,864.0,0.9320388349514563
471,1660,5841,Château-d'Oex,VD,fr,3424.0,3487.0,True,3487.0,1.0183995327102804
472,1661,2145,Le Pâquier (FR),FR,fr,1317.0,1338.0,True,1338.0,1.0159453302961277
473,1663,2135,Gruyères,FR,fr,2193.0,2205.0,True,2205.0,1.0054719562243501
477,1667,2162,Bas-Intyamon,FR,fr,784.0,1555.0,True,784.0,1.0
474,1665,2162,Bas-Intyamon,FR,fr,505.0,1555.0,True,505.0,1.0
476,1666,2162,Bas-Intyamon,FR,fr,1111.0,1555.0,True,266.0,0.23942394239423942
475,1666,2134,Grandvillard,FR,fr,1111.0,845.0,True,845.0,0.7605760576057605
478,1669,2121,Haut-Intyamon,FR,fr,1588.0,1588.0,True,1588.0,1.0
485,1675,2097,Rue,FR,fr,990.0,1537.0,True,495.0,0.5
486,1675,2102,Ursy,FR,fr,990.0,3299.0,True,495.0,0.5
482,1673,2097,Rue,FR,fr,2098.0,1537.0,True,1742.0,0.8303145853193518
480,1673,2061,Auboranges,FR,fr,2098.0,293.0,True,293.0,0.13965681601525262
481,1673,2072,Ecublens (FR),FR,fr,2098.0,356.0,True,356.0,0.16968541468064824
479,1670,2102,Ursy,FR,fr,1970.0,3299.0,True,1970.0,1.0
484,1674,2102,Ursy,FR,fr,870.0,3299.0,True,426.0,0.4896551724137931
483,1674,2089,Montet (Glâne),FR,fr,870.0,444.0,True,444.0,0.5103448275862069
490,1679,2099,Siviriez,FR,fr,369.0,2346.0,True,369.0,1.0
487,1676,2099,Siviriez,FR,fr,407.0,2346.0,True,407.0,1.0
488,1677,2099,Siviriez,FR,fr,421.0,2346.0,True,421.0,1.0
489,1678,2099,Siviriez,FR,fr,1149.0,2346.0,True,1149.0,1.0
493,1681,2063,Billens-Hennens,FR,fr,791.0,791.0,True,791.0,1.0
494,1682,5671,Dompierre (VD),VD,fr,838.0,245.0,True,245.0,0.29236276849642007
495,1682,5674,Lovatens,VD,fr,838.0,142.0,True,142.0,0.16945107398568018
496,1682,5683,Prévonloup,VD,fr,838.0,202.0,True,202.0,0.24105011933174225
497,1682,5831,Valbroye,VD,fr,838.0,3365.0,True,593.0,0.7076372315035799
379,1523,5831,Valbroye,VD,fr,1562.0,3365.0,True,1562.0,1.0
380,1524,5831,Valbroye,VD,fr,278.0,3365.0,True,278.0,1.0
382,1525,5831,Valbroye,VD,fr,736.0,3365.0,True,345.0,0.46875
381,1525,5819,Henniez,VD,fr,736.0,391.0,True,391.0,0.53125
391,1534,5831,Valbroye,VD,fr,251.0,3365.0,True,125.5,0.5
390,1534,2044,Surpierre,FR,fr,251.0,747.0,True,125.5,0.5
392,1535,5831,Valbroye,VD,fr,317.0,3365.0,True,317.0,1.0
393,1536,5831,Valbroye,VD,fr,424.0,3365.0,True,424.0,1.0
384,1527,2044,Surpierre,FR,fr,380.0,747.0,True,380.0,1.0
385,1528,2044,Surpierre,FR,fr,354.0,747.0,True,354.0,1.0
386,1529,2044,Surpierre,FR,fr,339.0,747.0,True,339.0,1.0
498,1683,5675,Lucens,VD,fr,414.0,4298.0,True,414.0,1.0
378,1522,5675,Lucens,VD,fr,3690.0,4298.0,True,3690.0,1.0
383,1526,5675,Lucens,VD,fr,198.0,4298.0,True,198.0,1.0
499,1684,2087,Mézières (FR),FR,fr,798.0,1062.0,True,798.0,1.0
491,1680,2087,Mézières (FR),FR,fr,5704.0,1062.0,True,287.0,0.050315568022440395
492,1680,2096,Romont (FR),FR,fr,5704.0,5417.0,True,5417.0,0.9496844319775596
505,1689,2067,Le Châtelard,FR,fr,349.0,349.0,True,349.0,1.0
507,1691,2117,Villaz,FR,fr,541.0,2310.0,True,541.0,1.0
506,1690,2117,Villaz,FR,fr,1781.0,2310.0,True,1781.0,1.0
508,1692,2086,Massonnens,FR,fr,548.0,548.0,True,548.0,1.0
509,1694,2114,Villorsonnens,FR,fr,1448.0,1483.0,True,1483.0,1.024171270718232
512,1697,2113,Vuisternens-devant-Romont,FR,fr,406.0,2338.0,True,406.0,1.0
500,1685,2113,Vuisternens-devant-Romont,FR,fr,350.0,2338.0,True,350.0,1.0
502,1686,2113,Vuisternens-devant-Romont,FR,fr,269.0,2338.0,True,51.0,0.1895910780669145
501,1686,2079,Grangettes,FR,fr,269.0,218.0,True,218.0,0.8104089219330854
503,1687,2113,Vuisternens-devant-Romont,FR,fr,1185.0,2338.0,True,1185.0,1.0
504,1688,2113,Vuisternens-devant-Romont,FR,fr,346.0,2338.0,True,346.0,1.0
513,1699,2337,Le Flon,FR,fr,1223.0,1223.0,True,1223.0,1.0
517,1714,2296,Heitenried,FR,de,1828.0,1395.0,True,1395.0,0.763129102844639
518,1715,2306,Tafers,FR,de,1875.0,3532.0,True,1875.0,1.0
515,1712,2306,Tafers,FR,de,3392.0,3532.0,True,3392.0,1.0
516,1713,2306,Tafers,FR,de,1644.0,3532.0,True,1644.0,1.0
520,1717,2304,St. Ursen,FR,de,1268.0,1365.0,True,1365.0,1.0764984227129337
521,1718,2301,Rechthalten,FR,de,1175.0,1106.0,True,1106.0,0.9412765957446808
522,1719,2292,Brünisried,FR,de,1053.0,670.0,True,670.0,0.6362773029439696
523,1719,2299,Plaffeien,FR,de,1053.0,3613.0,True,383.0,0.3637226970560304
519,1716,2299,Plaffeien,FR,de,3227.0,3613.0,True,3227.0,1.0
524,1720,2183,Corminboeuf,FR,fr,2765.0,2794.0,True,2794.0,1.0104882459312838
525,1721,2272,Misery-Courtion,FR,fr,2225.0,2225.0,True,2225.0,1.0
526,1722,2196,Fribourg,FR,fr,676.0,38039.0,True,676.0,1.0
514,1700,2196,Fribourg,FR,fr,37744.0,38039.0,True,37744.0,1.0
527,1723,2206,Marly,FR,fr,8450.0,8222.0,True,8222.0,0.9730177514792899
528,1723,2216,Pierrafortscha,FR,fr,8450.0,157.0,True,157.0,0.018579881656804735
529,1723,2230,Villarsel-sur-Marly,FR,fr,8450.0,75.0,True,75.0,0.008875739644970414
536,1728,2236,Gibloux,FR,fr,1428.0,7622.0,True,1428.0,1.0
510,1695,2236,Gibloux,FR,fr,1344.0,7622.0,True,1344.0,1.0
511,1696,2236,Gibloux,FR,fr,1089.0,7622.0,True,1089.0,1.0
534,1726,2236,Gibloux,FR,fr,2440.0,7622.0,True,2440.0,1.0
535,1727,2236,Gibloux,FR,fr,1321.0,7622.0,True,1321.0,1.0
537,1730,2233,Hauterive (FR),FR,fr,1168.0,2597.0,True,1168.0,1.0
533,1725,2233,Hauterive (FR),FR,fr,1440.0,2597.0,True,1440.0,1.0
539,1732,2238,Bois-d'Amont,FR,fr,1033.0,,True,1033.0,1.0
532,1724,2238,Bois-d'Amont,FR,fr,3593.0,,True,445.0,0.12385193431672697
